0 2 2 1		1.0310 -1.3
0 2 2 2		1.0795 -8.1
0 2 2 3		1.0373 -4.4
0 2 2 4		1.0568 -3.8
0 2 2 5		1.0347 -5.9
0 2 2 6		1.0556 -6.8
0 2 2 7		1.0291 -3.8
0 2 2 8		1.0507 -4.2
0 2 2 9		1.0245 -6.5
0 2 2 10		1.0609 -7.3
0 2 2 11		1.0609 -7.3
0 2 2 12		1.0327 -8.7
0 2 2 13		1.0618 -8.0
0 2 2 14		1.0345 -6.2
0 2 2 15		1.0648 -9.7
0 2 2 16		1.0317 -7.0
0 2 2 17		1.0401 -6.0
0 2 2 18		1.0232 -9.0
0 2 2 19		1.0346 -9.6
0 2 2 20		1.0012 -12.0
0 2 2 21		1.0215 -7.8
0 2 2 22		1.0215 -7.8
0 2 2 23		1.0215 -7.8
0 2 2 24		1.0335 -4.4
0 2 2 25		0.9881 -4.7
0 2 2 26		1.0409 -3.1
0 2 2 27		1.0345 -9.9
0 2 2 28		1.0459 -3.6
0 2 2 29		1.0290 -2.7
0 2 2 30		1.0490 -2.6
0 2 2 31		1.0222 -3.6
0 2 2 32		1.0505 -3.0
0 2 2 33		1.0296 -2.0
0 2 2 34		1.0426 -0.9
0 2 2 35		1.0308 -1.6
0 2 2 36		1.0524 -0.5
0 2 2 37		1.0343 0.7
0 2 2 38		1.0442 -3.4
0 2 2 39		1.0202 -2.9
0 2 2 40		1.0566 -4.2
0 2 2 41		1.0354 -4.5
0 2 2 42		1.0450 -3.0
0 2 2 43		1.0284 -6.6
0 2 2 44		1.0707 -10.9
0 2 2 45		1.0707 -10.9
0 2 2 46		1.0259 -3.5
0 2 2 47		1.0575 -8.1
0 2 2 48		1.0299 -7.0
0 2 2 49		1.0654 -9.4
0 2 2 50		1.0291 -6.1
0 2 2 51		1.0630 -9.4
0 2 2 52		1.0218 -4.9
0 2 2 53		1.0743 -12.3
0 2 2 54		1.0364 -3.8
0 2 2 55		1.0183 -7.5
0 2 2 56		1.0183 -7.5
0 2 2 57		1.0385 -14.4
0 2 2 58		1.0113 -6.1
0 2 2 59		1.0231 -1.9
0 2 2 60		1.0314 -10.8
0 2 2 61		1.0259 -5.8
0 2 2 62		1.0113 -3.8
0 2 2 63		1.0209 -4.2
0 2 2 64		1.0221 -3.9
0 2 2 65		1.0311 -4.7
0 2 2 66		1.0309 -5.0
0 2 2 67		1.0464 -3.2
0 2 3 0		0.8836 -3.3
0 2 3 1		0.8730 -4.3
0 2 3 2		0.8697 -7.0
0 2 3 3		0.8610 -3.7
0 2 3 4		1.0090 -4.1
0 2 3 5		1.0063 -2.6
0 2 3 6		1.0212 -3.3
0 2 3 7		1.0121 -1.1
0 2 3 8		1.0217 -6.2
0 2 3 9		1.0086 -2.2
